year;site_short;site;siteclass;ecosystem_category;critical_load_min;critical_load_single;critical_load_max;estimate;parameter;value;unit;source
2005;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;N-Deposition;22.5719672;kg-N/ha/a;Ostluft
2005;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH3-N Gasdep.;5.286669492;kg-N/ha/a;Ostluft
2005;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Gravitationsdep.;8.966944242;kg-N/ha/a;Ostluft
2005;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Interzeption;0.769357938;kg-N/ha/a;Ostluft
2005;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO2-N Gasdep.;0.737692643;kg-N/ha/a;Ostluft
2005;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Gravitationsdep.;5.589545685;kg-N/ha/a;Ostluft
2005;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Interzeption;0.3807972;kg-N/ha/a;Ostluft
2006;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;HNO3-N Gasdep.;0.84096;kg-N/ha/a;Ostluft
2006;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;N-Deposition;26.56492698;kg-N/ha/a;Ostluft
2006;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH3-N Gasdep.;7.810243593;kg-N/ha/a;Ostluft
2006;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Gravitationsdep.;9.855670098;kg-N/ha/a;Ostluft
2006;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Interzeption;0.850845532;kg-N/ha/a;Ostluft
2006;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO2-N Gasdep.;0.799523759;kg-N/ha/a;Ostluft
2006;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Gravitationsdep.;6.026886796;kg-N/ha/a;Ostluft
2006;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Interzeption;0.3807972;kg-N/ha/a;Ostluft
2007;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;HNO3-N Gasdep.;0.84096;kg-N/ha/a;Ostluft
2007;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;N-Deposition;21.83999057;kg-N/ha/a;Ostluft
2007;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH3-N Gasdep.;6.641133888;kg-N/ha/a;Ostluft
2007;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Gravitationsdep.;7.512580945;kg-N/ha/a;Ostluft
2007;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Interzeption;0.782444305;kg-N/ha/a;Ostluft
2007;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO2-N Gasdep.;0.762054546;kg-N/ha/a;Ostluft
2007;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Gravitationsdep.;4.920019687;kg-N/ha/a;Ostluft
2007;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Interzeption;0.3807972;kg-N/ha/a;Ostluft
2008;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;HNO3-N Gasdep.;0.965175361;kg-N/ha/a;Ostluft
2008;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;N-Deposition;19.56489319;kg-N/ha/a;Ostluft
2008;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH3-N Gasdep.;5.377985917;kg-N/ha/a;Ostluft
2008;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Gravitationsdep.;6.544404566;kg-N/ha/a;Ostluft
2008;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Interzeption;0.638672378;kg-N/ha/a;Ostluft
2008;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO2-N Gasdep.;0.796663076;kg-N/ha/a;Ostluft
2008;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Gravitationsdep.;4.815758344;kg-N/ha/a;Ostluft
2008;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Interzeption;0.426233546;kg-N/ha/a;Ostluft
2009;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;HNO3-N Gasdep.;0.84096;kg-N/ha/a;Ostluft
2009;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;N-Deposition;22.88405603;kg-N/ha/a;Ostluft
2009;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH3-N Gasdep.;7.086971995;kg-N/ha/a;Ostluft
2009;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Gravitationsdep.;7.938896084;kg-N/ha/a;Ostluft
2009;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Interzeption;0.721010311;kg-N/ha/a;Ostluft
2009;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO2-N Gasdep.;0.743892632;kg-N/ha/a;Ostluft
2009;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Gravitationsdep.;5.171527805;kg-N/ha/a;Ostluft
2009;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Interzeption;0.3807972;kg-N/ha/a;Ostluft
2010;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;HNO3-N Gasdep.;0.94608;kg-N/ha/a;Ostluft
2010;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;N-Deposition;20.59407881;kg-N/ha/a;Ostluft
2010;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH3-N Gasdep.;6.203602556;kg-N/ha/a;Ostluft
2010;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Gravitationsdep.;6.375232829;kg-N/ha/a;Ostluft
2010;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Interzeption;0.741444102;kg-N/ha/a;Ostluft
2010;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO2-N Gasdep.;0.810368982;kg-N/ha/a;Ostluft
2010;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Gravitationsdep.;5.136553142;kg-N/ha/a;Ostluft
2010;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Interzeption;0.3807972;kg-N/ha/a;Ostluft
2011;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;HNO3-N Gasdep.;0.985442042;kg-N/ha/a;Ostluft
2011;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;N-Deposition;21.059116;kg-N/ha/a;Ostluft
2011;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH3-N Gasdep.;7.327261947;kg-N/ha/a;Ostluft
2011;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Gravitationsdep.;6.313777688;kg-N/ha/a;Ostluft
2011;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Interzeption;0.746946132;kg-N/ha/a;Ostluft
2011;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO2-N Gasdep.;0.760748858;kg-N/ha/a;Ostluft
2011;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Gravitationsdep.;4.44086592;kg-N/ha/a;Ostluft
2011;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Interzeption;0.484073409;kg-N/ha/a;Ostluft
2012;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;HNO3-N Gasdep.;0.94608;kg-N/ha/a;Ostluft
2012;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;N-Deposition;21.03905594;kg-N/ha/a;Ostluft
2012;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH3-N Gasdep.;6.272040521;kg-N/ha/a;Ostluft
2012;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Gravitationsdep.;6.845002873;kg-N/ha/a;Ostluft
2012;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Interzeption;0.521848092;kg-N/ha/a;Ostluft
2012;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO2-N Gasdep.;0.712808194;kg-N/ha/a;Ostluft
2012;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Gravitationsdep.;5.343922659;kg-N/ha/a;Ostluft
2012;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Interzeption;0.3973536;kg-N/ha/a;Ostluft
2013;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;HNO3-N Gasdep.;0.909925209;kg-N/ha/a;Ostluft
2013;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;N-Deposition;21.16609448;kg-N/ha/a;Ostluft
2013;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH3-N Gasdep.;5.573577876;kg-N/ha/a;Ostluft
2013;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Gravitationsdep.;7.140516461;kg-N/ha/a;Ostluft
2013;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Interzeption;0.6843312;kg-N/ha/a;Ostluft
2013;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO2-N Gasdep.;0.768187375;kg-N/ha/a;Ostluft
2013;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Gravitationsdep.;5.608147542;kg-N/ha/a;Ostluft
2013;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Interzeption;0.481408815;kg-N/ha/a;Ostluft
2014;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;HNO3-N Gasdep.;0.820181244;kg-N/ha/a;Ostluft
2014;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;N-Deposition;21.24782803;kg-N/ha/a;Ostluft
2014;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH3-N Gasdep.;7.335915219;kg-N/ha/a;Ostluft
2014;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Gravitationsdep.;6.8098754;kg-N/ha/a;Ostluft
2014;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NH4-N Interzeption;0.489854323;kg-N/ha/a;Ostluft
2014;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO2-N Gasdep.;0.735876541;kg-N/ha/a;Ostluft
2014;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Gravitationsdep.;4.708394452;kg-N/ha/a;Ostluft
2014;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;NO3-N Interzeption;0.347730852;kg-N/ha/a;Ostluft
2015;BA;Hinwil_Bachtel Sennenberg;hoch;Trockenrasen;15;15;25;gemessen;HNO3-N Gasdep.;0.770583523;kg-N/ha/a;Ostluft
