"msID","msNameAirMo","msCode_PS","msOrt","msOrtsteil","msKT","spID","spXCoord","spYCoord","spHoehe","spBisDatum","scID","scVerkehrslage","scSiedlungsgroesse","scLagerelativSiedlung","scSpezialinfo","scIDBStandorttyp","scIDBStationstyp","scIDBBebauung","scIDBVerkehr","scBisDatum"
1084,,,"Zürich-Kaserne","NABEL","ZH",723,2682450,1247990,409,,2185,,,,,,,,,
1087,,,"Dübendorf","NABEL","ZH",726,2688675,1250900,432,,2188,,,,,,,,,
1091,"Opf_Glattpark","8152_0120","Opfikon","Glattpark","ZH",732,2684665,1253012,426,,2193,"S0","H22","Wohngebiete","A2","Städtisch","Hintergrund","offen","&lt; 5&apos;000",
1096,"8152_0110","8152_0110","Opfikon","Boulevard Lilienthal 51","ZH",741,2684558,1252782,427,,2203,"S0","H22","Wohngebiete","A2","Städtisch","Hintergrund","einseitig offen","5&apos;000 - 20&apos;000",
1097,"8152_0100","8152_0100","Opfikon","Dufauxstrasse 54","ZH",740,2684759,1252838,425,,2202,"S0","H22","Wohngebiete","A2","Städtisch","Hintergrund","geschlossen","&lt; 5&apos;000",
1098,"8152_0080","8152_0080","Opfikon","Earhart-Strasse 5","ZH",739,2684950,1253189,425,,2201,"S0","H22","Wohngebiete","A2","Städtisch","Hintergrund","einseitig offen","5&apos;000 - 20&apos;000",
1099,"8152_0090","8152_0090","Opfikon","Hamilton-Promenade","ZH",738,2684972,1253005,424,,2200,"S0","H22","Wohngebiete","A2","Städtisch","Hintergrund","einseitig offen","&lt; 5&apos;000",
1104,"Wei_Nägelseestrasse","8104_0050","Weiningen","Nägelseestrasse","ZH",747,2675817,1252111,418,,2207,"S31","H11","Randzonen","A2","Vorstädtisch","Verkehr","einseitig offen","&lt; 5&apos;000",
1107,"Hor_Sekundarschule","8810_0030","Horgen","Sekundarschule","ZH",748,2687799,1234471,477,,2210,"S0","H13","Zentrum","A1","Städtisch","Hintergrund","offen","&lt; 5&apos;000",
1108,"Win_St.Gallerstrasse","8400_0270","Winterthur","St. Gallerstrasse","ZH",749,2697547,1261627,444,,2211,"S22","H23","Zentrum","A2","Städtisch","Verkehr","einseitig offen","20&apos;000 - 50&apos;000",
1109,"8103_0030","8103_0030","Unterengstringen","Büelstrasse","ZH",750,2675888,1251928,430,,2212,"S0","H11","Randzonen","A2",,,,,
1110,"8103_0020","8103_0020","Unterengstringen","Chriesihogerweg","ZH",751,2675630,1252016,420,,2213,"S31","H11","Randzonen","A2",,,,,
1112,"8134_0030","8134_0030","Adliswil","Dietlimoos","ZH",758,2682502,1241706,469,,2218,"S11","H11","Randzonen","A2","Vorstädtisch","Verkehr","offen","5&apos;000 - 20&apos;000",
1114,"8810_0060","8810_0060","Horgen","Drusbergstrasse","ZH",760,2687706,1234339,490,,2220,"S0","H12","Wohngebiete","A1","Städtisch","Hintergrund","offen","&lt; 5&apos;000",
1115,"8810_0050","8810_0050","Horgen","Kummrütistrasse","ZH",761,2687559,1234159,520,,2221,"S0","H12","Wohngebiete","A1","Städtisch","Hintergrund","offen","&lt; 5&apos;000",
1116,"8810_0040","8810_0040","Horgen","Mythenstrasse","ZH",762,2687443,1234084,550,,2222,"S22","H11","Randzonen","A1","Städtisch","Verkehr","offen","5&apos;000 - 20&apos;000",
1117,"8810_0080","8810_0080","Horgen","Schärbächlistrasse","ZH",763,2688024,1234836,420,,2223,"S12","H12","Wohngebiete","A1","Städtisch","Hintergrund","einseitig offen","5&apos;000 - 20&apos;000",
1118,"8810_0070","8810_0070","Horgen","Steinbruchstrasse","ZH",764,2687955,1234591,450,,2224,"S0","H13","Zentrum","A1","Städtisch","Hintergrund","offen","&lt; 5&apos;000",
1119,"8102_0010","8102_0010","Oberengstringen","Zürcherstrasse 21","ZH",765,2678522,1251005,428,,2225,"S12","H22","Wohngebiete","A2","Städtisch","Verkehr","offen","5&apos;000 - 20&apos;000",
1136,"8105_0050","8105_0050","Regensdorf","Dorfstrasse","ZH",782,2678415,1254834,442,,2304,"S0","H12","Wohngebiete","A2","Vorstädtisch","Verkehr","einseitig offen","5&apos;000 - 20&apos;000",
1137,"8105_0040","8105_0040","Regensdorf","Weiningerstrasse","ZH",783,2677188,1253459,492,,2243,"S0","H11","Randzonen","A2","Vorstädtisch","Verkehr","keine","5&apos;000 - 20&apos;000",
1139,"8400_0260","8400_0260","Winterthur","Frauenfelderstrasse","ZH",785,2699387,1262562,456,,2245,"S22","H22","Wohngebiete","A2","Städtisch","Verkehr","offen","20&apos;000 - 50&apos;000",
1140,"8400_0360","8400_0360","Winterthur","Kanzleistrasse","ZH",786,2699708,1259976,464,,2246,"S22","H22","Wohngebiete","A2","Städtisch","Verkehr","einseitig offen","20&apos;000 - 50&apos;000",
1141,"8400_0280","8400_0280","Winterthur","Lindstrasse","ZH",787,2696734,1262854,442,,2247,"S22","H22","Wohngebiete","A2","Städtisch","Verkehr","einseitig offen","20&apos;000 - 50&apos;000",
1142,"8400_0370","8400_0370","Winterthur","Metzggasse","ZH",788,2697128,1261699,441,,2248,"S0","H23","Zentrum","A2","Städtisch","Hintergrund","geschlossen","&lt; 5&apos;000",
1143,"8400_0340","8400_0340","Winterthur","Mühlestrasse","ZH",789,2697556,1261462,443,,2249,"S00","H22","Wohngebiete","A2","Vorstädtisch","Hintergrund","offen","&lt; 5&apos;000",
1144,"8400_0290","8400_0290","Winterthur","Neuwiesenstrasse","ZH",790,2696677,1262197,436,,2250,"S22","H22","Wohngebiete","A2","Städtisch","Verkehr","einseitig offen","20&apos;000 - 50&apos;000",
1145,"8400_0330","8400_0330","Winterthur","St. Gallerstrasse 2","ZH",791,2697547,1261637,444,,2251,"S22","H22","Wohngebiete","A2","Städtisch","Verkehr","einseitig offen","20&apos;000 - 50&apos;000",
1146,"8400_0350","8400_0350","Winterthur","St. Gallerstrasse 39","ZH",792,2697924,1261652,446,,2252,"S22","H22","Wohngebiete","A2","Städtisch","Verkehr","einseitig offen","5&apos;000 - 20&apos;000",
